epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4867,0.65841,1.57571,1.08601,0.78331,0.69048,0.76967,0.55131,0.84356,1.6039,1.31122,0.000546847,0.000546847,0.000546847
2,40.6302,0.77475,1.10427,1.13683,0.64684,0.6344,0.6877,0.46747,1.018,1.50542,1.51493,0.00109706,0.00109706,0.00109706
3,58.2313,0.80937,1.04158,1.1536,0.49728,0.56804,0.54718,0.25167,1.51948,2.40605,2.12301,0.00164176,0.00164176,0.00164176
4,76.3495,0.85084,1.05624,1.17961,0.56096,0.57907,0.53766,0.25705,1.91426,1.81816,2.48877,0.00164225,0.00164225,0.00164225
5,94.3704,0.82253,0.96379,1.15631,0.75269,0.63457,0.72222,0.40807,1.26268,1.5186,1.60826,0.00163399,0.00163399,0.00163399
6,111.822,0.77473,0.88672,1.13194,0.83163,0.74619,0.81368,0.53944,1.05458,1.06865,1.47164,0.00162574,0.00162574,0.00162574
7,130.251,0.74479,0.8289,1.11141,0.84979,0.85679,0.8782,0.62909,0.92519,0.86011,1.33604,0.00161749,0.00161749,0.00161749
8,148.287,0.75422,0.82282,1.12506,0.84846,0.77617,0.83495,0.52965,1.16925,1.03569,1.56189,0.00160924,0.00160924,0.00160924
9,166.109,0.72677,0.78582,1.11241,0.83053,0.70437,0.79366,0.51706,1.05968,1.09612,1.43249,0.00160099,0.00160099,0.00160099
10,184.704,0.71612,0.77253,1.09355,0.79129,0.74704,0.85144,0.61246,0.97294,0.95042,1.37829,0.00159274,0.00159274,0.00159274
11,202.214,0.70573,0.74463,1.09817,0.8995,0.82395,0.89095,0.65196,0.86886,0.78776,1.28247,0.00158448,0.00158448,0.00158448
12,220.691,0.69291,0.71549,1.08715,0.80819,0.76632,0.8329,0.5886,0.90031,0.89447,1.27847,0.00157623,0.00157623,0.00157623
13,238.702,0.67233,0.68785,1.07624,0.88951,0.8149,0.87925,0.62264,0.93376,0.88293,1.30734,0.00156798,0.00156798,0.00156798
14,256.732,0.66073,0.68566,1.07253,0.70491,0.55489,0.59508,0.33825,1.38152,1.62913,1.72159,0.00155973,0.00155973,0.00155973
15,275.814,0.65539,0.65761,1.06951,0.83391,0.67714,0.76461,0.50126,1.14757,1.21567,1.64661,0.00155148,0.00155148,0.00155148
16,293.79,0.64936,0.66916,1.0671,0.88366,0.81005,0.84971,0.59172,0.95711,0.87406,1.34208,0.00154323,0.00154323,0.00154323
17,312.617,0.62211,0.62843,1.0553,0.82543,0.70166,0.80994,0.56731,0.9501,0.95821,1.3526,0.00153497,0.00153497,0.00153497
18,330.29,0.62405,0.61915,1.04635,0.88738,0.77721,0.87909,0.63727,0.83194,0.81388,1.27381,0.00152672,0.00152672,0.00152672
19,347.878,0.61632,0.62121,1.05262,0.8732,0.83807,0.88538,0.67771,0.84742,0.77891,1.25466,0.00151847,0.00151847,0.00151847
20,366.538,0.61797,0.6156,1.04908,0.80161,0.64482,0.76829,0.49555,1.11512,1.26122,1.56284,0.00151022,0.00151022,0.00151022
21,384.121,0.6144,0.59965,1.04101,0.87207,0.8254,0.86633,0.65516,0.7697,0.72817,1.20775,0.00150197,0.00150197,0.00150197
22,401.778,0.61409,0.60836,1.04207,0.89279,0.83926,0.90155,0.70485,0.76822,0.72277,1.16937,0.00149372,0.00149372,0.00149372
23,420.359,0.60399,0.59198,1.04103,0.82686,0.78289,0.83831,0.62662,0.82786,0.91715,1.24205,0.00148546,0.00148546,0.00148546
24,437.966,0.58299,0.56709,1.03045,0.89498,0.85368,0.8825,0.657,0.84357,0.72112,1.25784,0.00147721,0.00147721,0.00147721
25,456.328,0.5987,0.58871,1.04328,0.8797,0.85961,0.89184,0.67891,0.81385,0.71605,1.24641,0.00146896,0.00146896,0.00146896
26,474.405,0.58355,0.57113,1.03535,0.88388,0.81114,0.88406,0.65085,0.84946,0.86538,1.30604,0.00146071,0.00146071,0.00146071
27,491.946,0.5791,0.55049,1.03456,0.90592,0.86153,0.90742,0.70278,0.77326,0.64726,1.20892,0.00145246,0.00145246,0.00145246
28,510.62,0.57298,0.53838,1.03264,0.89288,0.82088,0.86712,0.67658,0.73058,0.71397,1.16363,0.00144421,0.00144421,0.00144421
29,528.363,0.55996,0.53137,1.02157,0.88828,0.848,0.88918,0.64345,0.8509,0.73047,1.30755,0.00143595,0.00143595,0.00143595
30,545.778,0.56417,0.53727,1.02624,0.9228,0.8522,0.90799,0.7477,0.66985,0.62109,1.10357,0.0014277,0.0014277,0.0014277
31,564.566,0.5589,0.53224,1.0206,0.92771,0.85115,0.88597,0.69149,0.78912,0.67382,1.22382,0.00141945,0.00141945,0.00141945
32,582.246,0.56545,0.54362,1.02947,0.90575,0.85397,0.89436,0.67183,0.80118,0.72528,1.23315,0.0014112,0.0014112,0.0014112
33,600.159,0.54029,0.50936,1.00918,0.93369,0.88057,0.91095,0.73265,0.68579,0.61811,1.13936,0.00140295,0.00140295,0.00140295
34,618.229,0.53369,0.50897,1.01301,0.9271,0.85889,0.90617,0.71985,0.74413,0.65566,1.20998,0.0013947,0.0013947,0.0013947
35,635.716,0.54908,0.50862,1.01925,0.90393,0.87103,0.91369,0.73933,0.66743,0.61031,1.11939,0.00138644,0.00138644,0.00138644
36,654.466,0.53487,0.49671,1.00367,0.87235,0.87187,0.8916,0.67523,0.84195,0.66245,1.32931,0.00137819,0.00137819,0.00137819
37,672.196,0.53253,0.51193,1.00746,0.88902,0.84815,0.88816,0.70066,0.74376,0.6655,1.17062,0.00136994,0.00136994,0.00136994
38,689.805,0.52964,0.49805,1.00789,0.91937,0.86294,0.90339,0.69082,0.75716,0.67505,1.20278,0.00136169,0.00136169,0.00136169
39,708.634,0.51997,0.49812,0.99914,0.90627,0.88168,0.90914,0.70621,0.742,0.62336,1.19227,0.00135344,0.00135344,0.00135344
40,726.237,0.51369,0.47961,0.99559,0.91672,0.87475,0.90255,0.70782,0.76447,0.66398,1.23805,0.00134519,0.00134519,0.00134519
41,744.377,0.51848,0.48069,1.00494,0.9046,0.85729,0.9107,0.70414,0.73484,0.68208,1.19068,0.00133693,0.00133693,0.00133693
42,762.817,0.51536,0.48197,1.00252,0.93636,0.83383,0.89094,0.70061,0.72517,0.65606,1.18538,0.00132868,0.00132868,0.00132868
43,780.5,0.50306,0.47456,0.99396,0.94159,0.87578,0.93281,0.75759,0.67333,0.57757,1.14537,0.00132043,0.00132043,0.00132043
44,799.133,0.51728,0.48419,1.00524,0.91316,0.84843,0.90057,0.68961,0.80444,0.65986,1.29053,0.00131218,0.00131218,0.00131218
45,816.348,0.51386,0.46266,0.99719,0.94118,0.88222,0.90387,0.70795,0.74208,0.58865,1.19716,0.00130393,0.00130393,0.00130393
46,833.549,0.50538,0.46982,0.99104,0.92594,0.85002,0.90812,0.72026,0.70102,0.62963,1.16366,0.00129568,0.00129568,0.00129568
47,852.184,0.49284,0.45233,0.98869,0.93391,0.86355,0.90175,0.73517,0.70274,0.5961,1.17901,0.00128742,0.00128742,0.00128742
48,869.588,0.50018,0.4577,0.98845,0.91889,0.88694,0.91645,0.74788,0.67391,0.60542,1.15333,0.00127917,0.00127917,0.00127917
49,887.477,0.5002,0.45835,0.99416,0.89512,0.88465,0.90759,0.72488,0.70366,0.57422,1.17781,0.00127092,0.00127092,0.00127092
50,906.195,0.5014,0.45229,0.99188,0.94623,0.8474,0.91856,0.73995,0.67041,0.61042,1.16156,0.00126267,0.00126267,0.00126267
51,923.911,0.50458,0.45705,0.99009,0.93415,0.89157,0.92402,0.74122,0.67233,0.55505,1.12033,0.00125442,0.00125442,0.00125442
52,942.465,0.48397,0.45103,0.98667,0.91411,0.86551,0.89757,0.72195,0.71978,0.6063,1.21677,0.00124617,0.00124617,0.00124617
53,960.458,0.49742,0.45279,0.99067,0.92238,0.8596,0.88894,0.69412,0.79327,0.65224,1.26974,0.00123791,0.00123791,0.00123791
54,978.218,0.47813,0.42773,0.9818,0.94026,0.86438,0.91107,0.73652,0.69268,0.61636,1.1545,0.00122966,0.00122966,0.00122966
55,997.006,0.46851,0.42257,0.97986,0.91576,0.87371,0.90292,0.69833,0.77404,0.6365,1.24803,0.00122141,0.00122141,0.00122141
56,1014.63,0.47439,0.44365,0.97959,0.92389,0.88183,0.91247,0.73875,0.67224,0.61865,1.17406,0.00121316,0.00121316,0.00121316
57,1032.37,0.47899,0.43862,0.98157,0.93023,0.83712,0.89572,0.72406,0.7146,0.59874,1.20438,0.00120491,0.00120491,0.00120491
58,1050.93,0.48051,0.43338,0.98257,0.93029,0.854,0.89778,0.73469,0.69836,0.62381,1.16726,0.00119666,0.00119666,0.00119666
59,1068.38,0.46911,0.42281,0.97957,0.94377,0.87421,0.91889,0.76419,0.64063,0.5574,1.13274,0.0011884,0.0011884,0.0011884
